song,total,write,read,dwt,gen_fpid
song192.wav,0.267889,0.063289,0.006970,0.119168,0.062920
song193.wav,0.267459,0.062885,0.006924,0.119372,0.062860
song194.wav,0.267632,0.063079,0.006973,0.119149,0.062893
song195.wav,0.267541,0.063051,0.006915,0.119192,0.062856
song196.wav,0.269432,0.062901,0.006925,0.119306,0.062852
song197.wav,0.268474,0.063073,0.007002,0.119681,0.062954
song198.wav,0.262560,0.063056,0.006884,0.114083,0.062879
song199.wav,0.267342,0.062962,0.006898,0.119181,0.062893
song19.wav,0.276485,0.062418,0.007070,0.119301,0.072068
song1.wav,0.267373,0.062413,0.007304,0.119184,0.062940
song200.wav,0.268335,0.062242,0.008471,0.119225,0.062870
song201.wav,0.267180,0.062665,0.006902,0.119177,0.062818
song202.wav,0.267413,0.062830,0.006962,0.119205,0.062878
song203.wav,0.266680,0.062023,0.006945,0.119140,0.062902
song204.wav,0.267012,0.062552,0.006908,0.119292,0.062876
song205.wav,0.267720,0.063213,0.006896,0.119121,0.062878
song206.wav,0.268029,0.063441,0.006923,0.119215,0.062937
song207.wav,0.266790,0.062505,0.006871,0.119125,0.062822
song208.wav,0.266876,0.062363,0.006969,0.119191,0.062888
song209.wav,0.269033,0.064385,0.006965,0.119161,0.062860
song20.wav,0.267176,0.062864,0.007005,0.119082,0.062762
song210.wav,0.273695,0.062727,0.007020,0.125036,0.062951
song211.wav,0.267714,0.063100,0.006983,0.119156,0.062899
song212.wav,0.269786,0.063359,0.007245,0.120706,0.062908
song213.wav,0.267323,0.063070,0.006919,0.119159,0.062799
song214.wav,0.269230,0.063249,0.008399,0.119170,0.062812
song215.wav,0.266755,0.062469,0.006920,0.119110,0.062861
song216.wav,0.267398,0.062984,0.006977,0.119157,0.062815
song217.wav,0.267394,0.062707,0.006963,0.119173,0.062903
song218.wav,0.266764,0.062422,0.006980,0.119152,0.062813
song219.wav,0.267465,0.062811,0.006932,0.119238,0.062818
song21.wav,0.268439,0.063902,0.006897,0.119353,0.062831
song220.wav,0.267571,0.062961,0.007194,0.119115,0.062861
song221.wav,0.266930,0.062510,0.006981,0.119149,0.062803
song222.wav,0.267223,0.062445,0.006950,0.119141,0.062969
song223.wav,0.267249,0.062889,0.006873,0.119234,0.062834
song224.wav,0.258194,0.063095,0.006989,0.109620,0.062902
song225.wav,0.267956,0.062622,0.006969,0.119656,0.062921
song226.wav,0.269670,0.063483,0.006916,0.120776,0.062950
song227.wav,0.266770,0.062380,0.006915,0.119185,0.062828
song228.wav,0.269720,0.062027,0.010199,0.119063,0.062880
song229.wav,0.267562,0.063070,0.006907,0.119280,0.062833
song22.wav,0.266837,0.062458,0.006931,0.119234,0.062848
song230.wav,0.267260,0.062734,0.006958,0.119069,0.062853
song231.wav,0.267256,0.062746,0.006913,0.119242,0.062896
song232.wav,0.267707,0.063211,0.006904,0.119084,0.062884
song233.wav,0.266487,0.061944,0.006945,0.119227,0.062951
song234.wav,0.267604,0.063015,0.007057,0.119135,0.062829
song235.wav,0.268010,0.063599,0.006897,0.119313,0.062820
song236.wav,0.267394,0.062758,0.006892,0.119114,0.062974
song237.wav,0.266805,0.062399,0.006878,0.119224,0.062950
song238.wav,0.254923,0.062860,0.006973,0.106614,0.062835
song239.wav,0.267038,0.062337,0.007184,0.119156,0.062858
song23.wav,0.274997,0.062446,0.007005,0.119705,0.069796
song240.wav,0.266973,0.062356,0.007148,0.119132,0.062866
song241.wav,0.269145,0.062440,0.007339,0.119190,0.064378
song242.wav,0.271901,0.067369,0.006918,0.119194,0.062845
song243.wav,0.267355,0.062937,0.006908,0.119149,0.062815
song244.wav,0.267180,0.062767,0.006950,0.119069,0.062872
song245.wav,0.267360,0.062898,0.006905,0.119244,0.062837
song246.wav,0.267262,0.062610,0.006959,0.119181,0.062874
song247.wav,0.272471,0.067911,0.006961,0.119250,0.062823
song248.wav,0.267277,0.062813,0.006926,0.119145,0.062826
song249.wav,0.267014,0.062635,0.006860,0.119146,0.063020
