song,total,write,read,dwt,gen_fpid
song130.wav,0.267943,0.063457,0.006268,0.066592,0.115719
song131.wav,0.270727,0.063148,0.009659,0.066453,0.115616
song132.wav,0.267698,0.063329,0.006338,0.066547,0.115725
song133.wav,0.267899,0.063321,0.006589,0.066404,0.115725
song134.wav,0.268241,0.063808,0.006378,0.066589,0.115679
song135.wav,0.270618,0.066216,0.006332,0.066502,0.115690
song136.wav,0.268516,0.063863,0.006351,0.066576,0.115769
song137.wav,0.271420,0.066751,0.006322,0.066695,0.115698
song138.wav,0.268060,0.063683,0.006485,0.066464,0.115645
song139.wav,0.267927,0.063380,0.006319,0.066509,0.115666
song13.wav,0.266652,0.062399,0.006304,0.066515,0.115602
song140.wav,0.271745,0.063640,0.006343,0.066715,0.115643
song141.wav,0.268933,0.064422,0.006374,0.066533,0.115667
song142.wav,0.237847,0.062930,0.006377,0.036563,0.115771
song143.wav,0.267088,0.062845,0.006343,0.066443,0.115671
song144.wav,0.229781,0.063231,0.006332,0.066537,0.077784
song145.wav,0.267838,0.063247,0.006400,0.066485,0.115744
song146.wav,0.249661,0.063688,0.006405,0.066591,0.096883
song147.wav,0.267757,0.063445,0.006354,0.066483,0.115583
song148.wav,0.267579,0.063105,0.006299,0.066532,0.115660
song149.wav,0.267847,0.063264,0.006380,0.066488,0.115717
song14.wav,0.267931,0.063576,0.006341,0.066474,0.115620
song150.wav,0.266927,0.062681,0.006345,0.066387,0.115592
song151.wav,0.268462,0.063946,0.006451,0.066507,0.115672
song152.wav,0.267859,0.063617,0.006321,0.066330,0.115693
song153.wav,0.268260,0.063658,0.006370,0.066601,0.115604
song154.wav,0.268238,0.063826,0.006418,0.066334,0.115684
song155.wav,0.273606,0.069152,0.006328,0.066488,0.115660
song156.wav,0.268375,0.063877,0.006351,0.066508,0.115703
song157.wav,0.267914,0.063470,0.006354,0.066508,0.115735
song158.wav,0.268056,0.063559,0.006479,0.066473,0.115660
song159.wav,0.267194,0.063069,0.006252,0.066455,0.115607
song15.wav,0.267405,0.063262,0.006332,0.066361,0.115653
song160.wav,0.267717,0.063243,0.006578,0.066457,0.115685
song161.wav,0.268374,0.064029,0.006382,0.066419,0.115681
song162.wav,0.267440,0.063069,0.006306,0.066490,0.115735
song163.wav,0.277955,0.073619,0.006309,0.066401,0.115694
song164.wav,0.267810,0.063483,0.006299,0.066481,0.115687
song165.wav,0.268290,0.063734,0.006415,0.066480,0.115654
song166.wav,0.268659,0.064192,0.006299,0.066590,0.115692
song167.wav,0.267568,0.063460,0.006338,0.066332,0.115604
